club_id,club_name,role,name,username,email,plaintext_password,password_hash
CLB001,Artificial Intelligence Club,PRESIDENT,Rohit Reddy,rohit.reddyCLB001,rohit.reddyCLB001@college.edu,8BbncdLXf!,$2b$12$2ry08TTwS7d1D4Gk9xwF0u.uc.XlzEuixsPu5bmeI.NlLwjB6R./6
CLB001,Artificial Intelligence Club,VICE_PRESIDENT,Vivaan Joshi,vivaan.joshiCLB001,vivaan.joshiCLB001@college.edu,nrvS0S@jiB,$2b$12$FV4zg.dX81.T9Ww8GKwvc.HR3KclyeXObQGTUHbjq8fZwMbV3sJRq
CLB001,Artificial Intelligence Club,FACULTY_COORDINATOR,Prof. Kiara Rao,kiara.raoCLB001.fac,kiara.raoCLB001.fac@college.edu,7hfbyZJ%7s,$2b$12$CTO0yjZyvV69NC4jmpN57u/a2gzEJOo3K1rLEf2looJqPCGzYzusa
CLB002,Machine Learning Society,PRESIDENT,Geeta Chatterjee,geeta.chatterjeeCLB002,geeta.chatterjeeCLB002@college.edu,QUwSnr7#2l,$2b$12$bd2s08vblZB41cR0QHnfL.VTHiNg2hI1lG0NbAjlHXLQ1Vx3a8MKe
CLB002,Machine Learning Society,VICE_PRESIDENT,Anjali Nair,anjali.nairCLB002,anjali.nairCLB002@college.edu,VZ00zurc@k,$2b$12$w8HxMHo1NA9O.9UabtVNc.zwB32iTnsv91vMHP7OU5opmIauk0tcy
CLB002,Machine Learning Society,FACULTY_COORDINATOR,Prof. Ira Saxena,ira.saxenaCLB002.fac,ira.saxenaCLB002.fac@college.edu,q2E@VViJLI,$2b$12$1MukfpPBkuS/36t7TC1pLObMOJV6JTt4vnanb.qFz.Z7hCpjPIMc.
CLB003,Robotics Club,PRESIDENT,Anjali Reddy,anjali.reddyCLB003,anjali.reddyCLB003@college.edu,$3aM9qJH8m,$2b$12$ernqHPeqfqF0TcbnK2Yeku9i.Kv4yOXCSiKccL3leLyEPhslEDKGu
CLB003,Robotics Club,VICE_PRESIDENT,Rohan Kapoor,rohan.kapoorCLB003,rohan.kapoorCLB003@college.edu,GgWFl0o#6G,$2b$12$I9AnxfDyxZ5wkJLloVH7xuzP8KQUakYXyAgVLc62jJ1t7H4/GgIgG
CLB003,Robotics Club,FACULTY_COORDINATOR,Prof. Shreya Patel,shreya.patelCLB003.fac,shreya.patelCLB003.fac@college.edu,1Z4tPd1pa#,$2b$12$Pp6gfpDrFWgK00owIq3Nxe5YRJV5uQ85AhOeW11sXELGqw.dcZPMC
CLB004,Cybersecurity Club,PRESIDENT,Isha Kapoor,isha.kapoorCLB004,isha.kapoorCLB004@college.edu,Q#z3YP5xxC,$2b$12$Ehp8OYs4uRR2TWbP/StVG.FTSMflUBymIvaBCwgG2XvXVu9kVyXjW
CLB004,Cybersecurity Club,VICE_PRESIDENT,Anika Bhatt,anika.bhattCLB004,anika.bhattCLB004@college.edu,ed5!0oThOS,$2b$12$Z8TsrGXL1jpy5EWzLyEVJ.IWO1sBvx7LoZFTW0le8sssPSNKnBJ1y
CLB004,Cybersecurity Club,FACULTY_COORDINATOR,Prof. Saanvi Chandra,saanvi.chandraCLB004.fac,saanvi.chandraCLB004.fac@college.edu,AXZpY$9Ems,$2b$12$Jpq.DnS1d7PNxNGfVHIsYeOrKnXg163GtoSNiR1xACXEM.sugUdC6
